                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                   radius                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.5000000000000000E+001                 -4.9999999999999991E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      454                  9.7607636327020502E-004                  9.9996410044049955E-001                  7.3445735570963665E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                  9.9996410044049955E-001                  7.3445735570963665E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1751353201987545E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1751353201987545E+001                  3.5531433931340741E+000                  1.6251975471549507E+004                  4.2109061581917393E+000                  2.5224251292803483E+000                  3.3298535194990353E+002                  5.6913035390810918E-001                  3.7079199865825334E+000                  5.4784036729615995E+000                 -5.4154414448253396E+000                  8.2434916076273641E+000                  6.2095089510744184E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120159E-003                  9.3604466091399743E-003                  1.0500000000000007E+001                  4.1995530354712365E+000                 -2.1751353201987545E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.1493172497860561E-002                                        0                                        0 
                                       5                  7.4416000000000000E-005                  1.5000000000000000E+001                 -4.6832750158095005E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      454                  9.7556207484777698E-004                  9.9996410044049955E-001                  7.3445713578921068E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                  9.9996410044049955E-001                  7.3445713578921068E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1751346154371529E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1751346154371529E+001                  3.5530756600312836E+000                  1.6241970166202278E+004                  4.2106387084281538E+000                  2.5224268706041362E+000                  3.3298668707273123E+002                  5.6912687126053385E-001                  3.7078902525488027E+000                  5.4784027119139251E+000                 -5.4154384745818529E+000                  8.2434929241604280E+000                  6.2095089562058337E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120150E-003                  9.3604466091399743E-003                  1.0500000000000007E+001                  4.1995530354712365E+000                 -2.1751346154371529E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5357915584112881E-002                                        0                                        0 
                                      10                  2.5958682111999992E-004                  1.5000000000000000E+001                 -4.2873687855713767E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      453                  9.7384177151178840E-004                  9.9996410044049955E-001                  7.3445634124210219E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                  9.9996410044049955E-001                  7.3445634124210219E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1751333721213054E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1751333721213054E+001                  3.5528442725902645E+000                  1.6208595623252126E+004                  4.2097453874892308E+000                  2.5224429850167116E+000                  3.3299904270844047E+002                  5.6909464243538288E-001                  3.7076151016600440E+000                  5.4784006195010155E+000                 -5.4154324203101734E+000                  8.2434954267734568E+000                  6.2095089673495318E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120141E-003                  9.3604466091399777E-003                  1.0500000000000007E+001                  4.1995530354712365E+000                 -2.1751333721213054E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.0112050083519177E-002                                        0                                        0 
                                      15                  7.2035107872931792E-004                  1.5000000000000000E+001                 -3.8914625553332525E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      452                  9.6783887367914232E-004                  9.9996410044049955E-001                  7.3445350615858589E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                  9.9996410044049955E-001                  7.3445350615858589E-003                  3.7650548634853158E-005                  7.8128366335614201E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1751286754707216E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1751286754707216E+001                  3.5523591184357990E+000                  1.6137934554559943E+004                  4.2078479499053980E+000                  2.5224645745337280E+000                  3.3301559706843682E+002                  5.6905146340134993E-001                  3.7072464962847005E+000                  5.4783996885310300E+000                 -5.4154210272917531E+000                  8.2435042105865080E+000                  6.2095089728848163E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120128E-003                  9.3604466091399743E-003                  1.0500000000000007E+001                  4.1995530354712365E+000                 -2.1751286754707216E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.6811549155985317E-001                                        0                                        0 
                                      20                  1.8668799962237360E-003                  1.5000000000000000E+001                 -3.4955563250951283E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      452                  9.3988957248528071E-004                  9.9996410044049955E-001                  1.6801149153187461E-003                  3.7650548634857062E-005                  7.8128366339517329E-008                  9.9996410044049955E-001                  1.6801149153187461E-003                  3.7650548634857062E-005                  7.8128366339517329E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1751187128471074E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1751187128471074E+001                  3.5523825671776104E+000                  1.6149186422786217E+004                  4.2081506479677637E+000                  2.5225690260812876E+000                  3.3309569980790212E+002                  5.6884256030623093E-001                  3.7054636759486517E+000                  5.4784026929912359E+000                 -5.4154040973562987E+000                  8.2435232094246427E+000                  6.2095089585815755E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120120E-003                  9.3604466091399777E-003                  1.0500000000000004E+001                  4.1995530354712365E+000                 -2.1751187128471074E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.9999500348968972E-001                                        0                                        0 
                                      25                  4.7198108322034464E-003                  1.5000000000000000E+001                 -3.0996500948570045E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  7.6588157979624850E-004                  9.9996410044049955E-001                  2.3191352945578026E-004                  3.7650548635079486E-005                  7.8128366561941404E-008                  9.9996410044049955E-001                  2.3191352945578026E-004                  3.7650548635079486E-005                  7.8128366561941404E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1750989238087556E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1750989238087556E+001                  3.5548242012446081E+000                  1.6543466020998665E+004                  4.2186265037714206E+000                  2.5229236858491211E+000                  3.3336782827931285E+002                  5.6813324077056404E-001                  3.6994165981144476E+000                  5.4784136535824688E+000                 -5.4153763378363013E+000                  8.2435625384321103E+000                  6.2095089040845231E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120107E-003                  9.3604466091399743E-003                  1.0500000000000004E+001                  4.1995530354712365E+000                 -2.1750989238087556E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  3.3292040683264179E-001                                        0                                        0 
                                      30                  1.1818815689988476E-002                  1.5000000000000000E+001                 -2.7037438646188803E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  5.5941740195413229E-004                  9.9995968925130119E-001                  2.6352627930199037E-004                  2.3825489800119717E-005                  7.8128366561954957E-008                  9.9995968925130119E-001                  2.6352627930199037E-004                  2.3825489800119717E-005                  7.8128366561954957E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1750547632317637E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1750547632317637E+001                  3.5605970048284799E+000                  1.7512165349540035E+004                  4.2433398491796677E+000                  2.5237347513855002E+000                  3.3399099021587529E+002                  5.6651110969780627E-001                  3.6856246993748289E+000                  5.4784409240613048E+000                 -5.4153185083922866E+000                  8.2436504826222681E+000                  6.2095087673587235E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120098E-003                  9.3604466091399777E-003                  1.0500000000000004E+001                  4.1995530354712365E+000                 -2.1750547632317637E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.9895030828699704E-001                                        0                                        0 
                                      35                  2.9483411457712123E-002                  1.5000000000000000E+001                 -2.3078376343807565E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      450                  3.5632727527258959E-004                  9.9995074756531044E-001                  8.2986166171240513E-004                  1.6912960382868605E-005                  7.8128366785530997E-008                  9.9995074756531044E-001                  8.2986166171240513E-004                  1.6912960382868605E-005                  7.8128366785530997E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1749632457747289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749632457747289E+001                  3.5682465652352553E+000                  1.8923938108276107E+004                  4.2770115189961571E+000                  2.5252714654801949E+000                  3.3517488224979189E+002                  5.6343768150841678E-001                  3.6596342337022807E+000                  5.4784995495943161E+000                 -5.4151965660794179E+000                  8.2438374469342044E+000                  6.2095084713940485E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120085E-003                  9.3604466091399743E-003                  1.0500000000000004E+001                  4.1995530354712365E+000                 -2.1749632457747289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.0900872868290943E-001                                        0                                        0 
                                      40                  7.3438578398454205E-002                  1.5000000000000000E+001                 -1.9119314041426323E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                      454                  1.5036015183648291E-004                  9.9992768729659431E-001                  2.3347520328255081E-004                  1.0000430965444232E-005                  7.8128366835844754E-008                  9.9992768729659431E-001                  2.3347520328255081E-004                  1.0000430965444232E-005                  7.8128366835844754E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1747730209610356E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1747730209610356E+001                  3.5747314608732634E+000                  2.0304203131581369E+004                  4.3075859496326032E+000                  2.5275888895224004E+000                  3.3696817787786034E+002                  5.5880283342400505E-001                  3.6207858002199420E+000                  5.4786262615723009E+000                 -5.4149325881852652E+000                  8.2442419158040163E+000                  6.2095078229439649E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399743E-003                  3.4416106108120076E-003                  9.3604466091399777E-003                  1.0500000000000004E+001                  4.1995530354712365E+000                 -2.1747730209610356E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.1471466611876742E-001                                        0                                        0 
